Player Name,Most honest and straightforward,Best communicator under pressure,Most comfortable approaching when stressed,Most positive influence on team,Most effective to work with,Best decision-maker in tough moments,Understands you best on/off field,Most frequent interaction,Most supportive team presence,Least connected teammate,Least interaction overall,Hardest to communicate with
Ethan Marshall,Marcus Delaney,Brianna Flores,Trevor Baldwin,Trevor Baldwin,Brandon Holloway,Marcus Delaney,Isaiah Coleman,Aaron Whitfield,Isaiah Coleman,Olivia Grant,Tiana Brooks,Lucas Montgomery
Olivia Grant,Brandon Holloway,Nathaniel Price,Lucas Montgomery,Lucas Montgomery,Danielle Russo,Brianna Flores,Aaron Whitfield,Brandon Holloway,Lucas Montgomery,Ethan Marshall,Dominic Farrell,Felicia Kim
Marcus Delaney,Olivia Grant,Lucas Montgomery,Olivia Grant,Nathaniel Price,Ethan Marshall,Ethan Marshall,Trevor Baldwin,Felicia Kim,Trevor Baldwin,Felicia Kim,Aaron Whitfield,Aaron Whitfield
Brianna Flores,Isaiah Coleman,Kelsey Whitmore,Felicia Kim,Felicia Kim,Felicia Kim,Marcus Delaney,Vanessa Ortiz,Tiana Brooks,Lucas Montgomery,Jocelyn Ramirez,Vanessa Ortiz,Kelsey Whitmore
Nathaniel Price,Tiana Brooks,Ethan Marshall,Tiana Brooks,Kelsey Whitmore,Lucas Montgomery,Marcus Delaney,Kelsey Whitmore,Lucas Montgomery,Trevor Baldwin,Monique Patterson,Trevor Baldwin,Monique Patterson
Kelsey Whitmore,Trevor Baldwin,Lucas Montgomery,Lucas Montgomery,Nathaniel Price,Aaron Whitfield,Dominic Farrell,Dominic Farrell,Olivia Grant,Danielle Russo,Brandon Holloway,Olivia Grant,Danielle Russo
Isaiah Coleman,Brianna Flores,Aaron Whitfield,Lucas Montgomery,Felicia Kim,Lucas Montgomery,Danielle Russo,Trevor Baldwin,Monique Patterson,Monique Patterson,Lucas Montgomery,Monique Patterson,Tiana Brooks
Danielle Russo,Lucas Montgomery,Aaron Whitfield,Brandon Holloway,Jocelyn Ramirez,Lucas Montgomery,Lucas Montgomery,Marcus Delaney,Lucas Montgomery,Kelsey Whitmore,Marcus Delaney,Felicia Kim,Nathaniel Price
Lucas Montgomery,Monique Patterson,Brianna Flores,Olivia Grant,Kelsey Whitmore,Danielle Russo,Brianna Flores,Olivia Grant,Brianna Flores,Brandon Holloway,Olivia Grant,Jocelyn Ramirez,Monique Patterson
Vanessa Ortiz,Lucas Montgomery,Felicia Kim,Monique Patterson,Monique Patterson,Marcus Delaney,Monique Patterson,Brandon Holloway,Dominic Farrell,Kelsey Whitmore,Tiana Brooks,Lucas Montgomery,Danielle Russo
Trevor Baldwin,Brianna Flores,Felicia Kim,Brandon Holloway,Olivia Grant,Brianna Flores,Brandon Holloway,Monique Patterson,Brianna Flores,Danielle Russo,Lucas Montgomery,Ethan Marshall,Jocelyn Ramirez
Monique Patterson,Trevor Baldwin,Danielle Russo,Brianna Flores,Jocelyn Ramirez,Aaron Whitfield,Brandon Holloway,Lucas Montgomery,Vanessa Ortiz,Olivia Grant,Danielle Russo,Marcus Delaney,Ethan Marshall
Aaron Whitfield,Brianna Flores,Kelsey Whitmore,Brandon Holloway,Olivia Grant,Trevor Baldwin,Brandon Holloway,Marcus Delaney,Monique Patterson,Nathaniel Price,Jocelyn Ramirez,Olivia Grant,Tiana Brooks
Jocelyn Ramirez,Olivia Grant,Dominic Farrell,Kelsey Whitmore,Ethan Marshall,Tiana Brooks,Marcus Delaney,Ethan Marshall,Nathaniel Price,Trevor Baldwin,Felicia Kim,Olivia Grant,Ethan Marshall
Brandon Holloway,Vanessa Ortiz,Isaiah Coleman,Monique Patterson,Nathaniel Price,Ethan Marshall,Vanessa Ortiz,Dominic Farrell,Marcus Delaney,Monique Patterson,Ethan Marshall,Ethan Marshall,Isaiah Coleman
Felicia Kim,Monique Patterson,Brandon Holloway,Tiana Brooks,Trevor Baldwin,Danielle Russo,Nathaniel Price,Marcus Delaney,Brandon Holloway,Olivia Grant,Monique Patterson,Nathaniel Price,Lucas Montgomery
Dominic Farrell,Aaron Whitfield,Monique Patterson,Jocelyn Ramirez,Felicia Kim,Danielle Russo,Felicia Kim,Lucas Montgomery,Ethan Marshall,Kelsey Whitmore,Danielle Russo,Danielle Russo,Brianna Flores
Tiana Brooks,Olivia Grant,Monique Patterson,Felicia Kim,Olivia Grant,Felicia Kim,Olivia Grant,Vanessa Ortiz,Kelsey Whitmore,Dominic Farrell,Vanessa Ortiz,Lucas Montgomery,Lucas Montgomery
